lr,batch_size,weight_decay,optimizer,val_acc,val_mae,val_mse
0.001,8,0.0001,adamw,0.5897435897435898,0.8589743589743589,2.217948717948718
0.001,8,0.0001,adam,0.6153846153846154,1.0512820512820513,3.641025641025641
0.001,8,1e-05,adamw,0.6153846153846154,1.1153846153846154,4.115384615384615
0.001,8,1e-05,adam,0.6282051282051282,0.7692307692307693,2.076923076923077
0.001,16,0.0001,adamw,0.6794871794871795,0.6666666666666666,1.9743589743589745
0.001,16,0.0001,adam,0.6153846153846154,0.8076923076923077,2.1923076923076925
0.001,16,1e-05,adamw,0.6410256410256411,0.7692307692307693,2.2051282051282053
0.001,16,1e-05,adam,0.6282051282051282,0.7051282051282052,1.7564102564102564
0.0003,8,0.0001,adamw,0.6794871794871795,0.6538461538461539,1.705128205128205
0.0003,8,0.0001,adam,0.6794871794871795,0.6153846153846154,1.6923076923076923
0.0003,8,1e-05,adamw,0.6794871794871795,0.6538461538461539,1.7564102564102564
0.0003,8,1e-05,adam,0.6794871794871795,0.6794871794871795,1.9615384615384615
0.0003,16,0.0001,adamw,0.6666666666666666,0.7307692307692307,2.2435897435897436
0.0003,16,0.0001,adam,0.6923076923076923,0.5769230769230769,1.5
0.0003,16,1e-05,adamw,0.6410256410256411,0.6923076923076923,1.8974358974358974
0.0003,16,1e-05,adam,0.6538461538461539,0.6410256410256411,1.5128205128205128
0.0001,8,0.0001,adamw,0.6923076923076923,0.6666666666666666,1.9487179487179487
0.0001,8,0.0001,adam,0.6538461538461539,0.6025641025641025,1.3974358974358974
0.0001,8,1e-05,adamw,0.6666666666666666,0.6025641025641025,1.4230769230769231
0.0001,8,1e-05,adam,0.6666666666666666,0.7435897435897436,2.2051282051282053
0.0001,16,0.0001,adamw,0.6410256410256411,0.7564102564102564,2.217948717948718
0.0001,16,0.0001,adam,0.6538461538461539,0.717948717948718,2.051282051282051
0.0001,16,1e-05,adamw,0.6538461538461539,0.6794871794871795,1.858974358974359
0.0001,16,1e-05,adam,0.6282051282051282,0.8205128205128205,2.6153846153846154
